"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","1,589.06","1,591.32","1,598.57","1,573.84","-","-0.10%"
"Dec 30, 2019","1,590.59","1,610.86","1,610.86","1,570.37","-","-1.45%"
"Dec 27, 2019","1,614.03","1,658.97","1,660.13","1,609.37","-","-1.89%"
"Dec 26, 2019","1,645.16","1,621.36","1,666.84","1,620.71","-","2.14%"
"Dec 24, 2019","1,610.69","1,597.25","1,649.56","1,596.67","-","0.89%"
"Dec 23, 2019","1,596.50","1,530.08","1,599.79","1,527.83","-","4.47%"
"Dec 20, 2019","1,528.20","1,495.24","1,536.89","1,493.03","-","2.74%"
"Dec 19, 2019","1,487.45","1,481.82","1,518.89","1,474.31","-","1.11%"
"Dec 18, 2019","1,471.10","1,445.12","1,496.97","1,445.12","-","1.65%"
"Dec 17, 2019","1,447.22","1,447.13","1,449.61","1,419.76","-","-0.21%"
"Dec 16, 2019","1,450.27","1,470.12","1,481.13","1,444.19","-","-0.93%"
"Dec 13, 2019","1,463.83","1,431.75","1,478.28","1,430.03","-","2.57%"
"Dec 12, 2019","1,427.13","1,391.63","1,448.76","1,390.61","-","2.81%"
"Dec 11, 2019","1,388.17","1,380.42","1,400.82","1,375.01","-","0.66%"
"Dec 10, 2019","1,379.05","1,417.13","1,422.33","1,376.31","-","-2.96%"
"Dec 09, 2019","1,421.18","1,416.09","1,428.62","1,399.23","-","0.79%"
"Dec 06, 2019","1,410.02","1,380.36","1,413.50","1,377.85","-","2.82%"
"Dec 05, 2019","1,371.33","1,367.25","1,385.38","1,364.03","-","0.29%"
"Dec 04, 2019","1,367.34","1,331.79","1,373.77","1,331.72","-","3.25%"
"Dec 03, 2019","1,324.33","1,342.20","1,342.20","1,305.49","-","-2.35%"
"Dec 02, 2019","1,356.24","1,404.47","1,412.05","1,355.13","-","-3.38%"
"Nov 29, 2019","1,403.63","1,414.20","1,414.20","1,399.03","-","-0.88%"
"Nov 27, 2019","1,416.05","1,383.90","1,423.34","1,375.65","-","2.37%"
"Nov 26, 2019","1,383.29","1,377.21","1,385.97","1,357.21","-","0.12%"
"Nov 25, 2019","1,381.60","1,363.89","1,388.83","1,360.44","-","1.66%"
"Nov 22, 2019","1,359.01","1,344.73","1,362.52","1,336.34","-","1.34%"
"Nov 21, 2019","1,341.06","1,345.11","1,345.11","1,321.28","-","-0.02%"
"Nov 20, 2019","1,341.30","1,293.90","1,341.30","1,293.21","-","4.15%"
"Nov 19, 2019","1,287.91","1,258.97","1,287.91","1,233.17","-","2.42%"
"Nov 18, 2019","1,257.42","1,299.63","1,299.63","1,251.22","-","-3.34%"
"Nov 15, 2019","1,300.92","1,326.68","1,333.07","1,287.71","-","-1.53%"
"Nov 14, 2019","1,321.11","1,328.01","1,343.36","1,318.39","-","-0.53%"
"Nov 13, 2019","1,328.20","1,343.60","1,343.60","1,319.13","-","-1.50%"
"Nov 12, 2019","1,348.40","1,351.69","1,359.66","1,335.50","-","-0.21%"
"Nov 11, 2019","1,351.27","1,335.05","1,354.10","1,328.61","-","1.11%"
"Nov 08, 2019","1,336.37","1,362.41","1,362.41","1,321.10","-","-2.11%"
"Nov 07, 2019","1,365.11","1,344.80","1,378.89","1,344.80","-","2.13%"
"Nov 06, 2019","1,336.68","1,376.85","1,376.85","1,332.75","-","-3.11%"
"Nov 05, 2019","1,379.53","1,365.08","1,384.38","1,365.08","-","1.41%"
"Nov 04, 2019","1,360.41","1,329.36","1,367.76","1,328.15","-","3.32%"
"Nov 01, 2019","1,316.75","1,318.64","1,329.12","1,301.99","-","0.47%"
"Oct 31, 2019","1,310.60","1,310.47","1,315.86","1,298.25","-","-0.25%"
"Oct 30, 2019","1,313.82","1,301.11","1,313.82","1,287.44","-","0.79%"
"Oct 29, 2019","1,303.54","1,272.49","1,315.41","1,255.59","-","1.73%"
"Oct 28, 2019","1,281.38","1,326.23","1,355.15","1,273.64","-","-4.08%"
"Oct 25, 2019","1,335.84","1,335.58","1,363.21","1,329.00","-","0.26%"
"Oct 24, 2019","1,332.44","1,335.14","1,345.00","1,327.43","-","0.36%"
"Oct 23, 2019","1,327.70","1,330.61","1,352.11","1,321.26","-","-0.65%"
"Oct 22, 2019","1,336.44","1,381.97","1,390.22","1,330.76","-","-3.33%"
"Oct 21, 2019","1,382.53","1,393.41","1,400.40","1,365.18","-","0.58%"
"Oct 18, 2019","1,374.51","1,391.67","1,398.06","1,367.20","-","-2.13%"
"Oct 17, 2019","1,404.42","1,415.63","1,426.77","1,396.31","-","-0.61%"
"Oct 16, 2019","1,412.98","1,432.79","1,432.79","1,403.00","-","-1.87%"
"Oct 15, 2019","1,439.88","1,415.00","1,442.91","1,410.21","-","2.22%"
"Oct 14, 2019","1,408.60","1,427.24","1,432.64","1,406.39","-","-1.75%"
"Oct 11, 2019","1,433.67","1,447.73","1,462.05","1,433.31","-","0.11%"
"Oct 10, 2019","1,432.16","1,387.68","1,439.14","1,386.15","-","3.39%"
"Oct 09, 2019","1,385.21","1,380.51","1,389.40","1,369.78","-","0.74%"
"Oct 08, 2019","1,375.04","1,431.75","1,431.75","1,375.04","-","-4.26%"
"Oct 07, 2019","1,436.22","1,440.69","1,470.35","1,434.74","-","-0.36%"
"Oct 04, 2019","1,441.34","1,412.66","1,441.76","1,412.66","-","2.65%"
"Oct 03, 2019","1,404.16","1,393.50","1,407.00","1,380.75","-","0.72%"
