"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2019","7,288.33","7,348.05","7,353.81","7,288.33","-","-0.87%"
"Dec 27, 2019","7,352.66","7,340.25","7,358.40","7,337.93","-","0.15%"
"Dec 26, 2019","7,341.61","7,327.10","7,361.77","7,326.35","-","0.00%"
"Dec 23, 2019","7,341.40","7,371.93","7,371.93","7,289.23","-","0.35%"
"Dec 20, 2019","7,315.79","7,253.21","7,315.79","7,229.46","-","0.88%"
"Dec 19, 2019","7,252.08","7,305.88","7,311.74","7,231.44","-","-1.14%"
"Dec 18, 2019","7,335.38","7,240.66","7,335.95","7,206.51","-","1.27%"
"Dec 17, 2019","7,243.24","7,205.53","7,243.24","7,175.48","-","0.84%"
"Dec 16, 2019","7,183.13","7,165.87","7,223.10","7,165.87","-","0.25%"
"Dec 13, 2019","7,164.92","7,141.98","7,164.92","7,124.66","-","1.47%"
"Dec 12, 2019","7,061.23","7,133.06","7,156.72","7,061.23","-","-0.89%"
"Dec 11, 2019","7,124.65","7,152.38","7,158.60","7,111.91","-","-0.24%"
"Dec 10, 2019","7,141.94","7,131.79","7,160.48","7,129.26","-","-0.13%"
"Dec 09, 2019","7,151.45","7,165.82","7,177.28","7,130.12","-","-0.10%"
"Dec 06, 2019","7,158.74","7,131.83","7,159.24","7,094.93","-","0.52%"
"Dec 05, 2019","7,121.98","7,077.82","7,121.98","7,077.82","-","1.14%"
"Dec 04, 2019","7,041.60","7,048.89","7,066.72","7,017.01","-","-0.37%"
"Dec 03, 2019","7,067.61","7,056.65","7,088.22","7,033.24","-","-0.10%"
"Dec 02, 2019","7,074.86","6,950.27","7,074.86","6,944.78","-","2.22%"
"Nov 29, 2019","6,921.16","6,839.45","6,943.50","6,817.92","-","1.17%"
"Nov 28, 2019","6,841.36","6,918.39","6,963.55","6,837.36","-","-1.50%"
"Nov 27, 2019","6,945.26","6,909.73","6,979.43","6,879.28","-","0.37%"
"Nov 26, 2019","6,919.50","7,022.02","7,036.15","6,919.50","-","-1.05%"
"Nov 25, 2019","6,992.76","7,052.72","7,064.07","6,974.28","-","-1.03%"
"Nov 22, 2019","7,065.53","7,072.56","7,099.63","7,049.21","-","-0.22%"
"Nov 21, 2019","7,081.03","7,116.06","7,116.06","7,041.85","-","-0.79%"
"Nov 20, 2019","7,137.46","7,078.14","7,146.95","7,059.45","-","0.33%"
"Nov 19, 2019","7,114.33","7,052.30","7,114.33","7,016.28","-","1.31%"
"Nov 18, 2019","7,022.16","7,017.21","7,037.15","6,995.72","-","-0.11%"
"Nov 15, 2019","7,030.15","6,994.62","7,037.76","6,950.89","-","1.07%"
"Nov 14, 2019","6,955.38","7,007.58","7,017.41","6,898.90","-","-1.02%"
"Nov 13, 2019","7,027.41","7,086.45","7,090.19","7,006.32","-","-0.99%"
"Nov 12, 2019","7,097.74","7,024.63","7,098.00","7,019.60","-","0.56%"
"Nov 11, 2019","7,058.50","7,058.82","7,069.02","7,024.28","-","-0.23%"
"Nov 08, 2019","7,074.68","7,040.46","7,077.35","6,987.91","-","0.42%"
"Nov 07, 2019","7,045.28","7,146.92","7,147.29","6,962.26","-","-0.98%"
"Nov 06, 2019","7,115.16","7,221.91","7,221.91","7,100.85","-","-1.28%"
"Nov 05, 2019","7,207.28","7,085.06","7,207.28","7,066.56","-","2.42%"
"Nov 04, 2019","7,037.10","7,086.88","7,121.14","7,037.10","-","-0.43%"
"Nov 01, 2019","7,067.36","7,083.77","7,097.34","7,040.96","-","-0.30%"
"Oct 31, 2019","7,088.37","7,162.18","7,162.70","7,048.87","-","-1.29%"
"Oct 30, 2019","7,181.15","7,209.21","7,210.10","7,133.32","-","0.12%"
"Oct 29, 2019","7,172.48","7,139.12","7,172.48","7,110.10","-","0.45%"
"Oct 28, 2019","7,140.28","7,124.63","7,162.39","7,107.27","-","0.27%"
"Oct 25, 2019","7,121.00","7,271.90","7,272.28","7,112.33","-","-2.01%"
"Oct 24, 2019","7,267.40","7,150.67","7,269.68","7,142.29","-","1.98%"
"Oct 23, 2019","7,125.96","7,059.84","7,125.96","7,021.72","-","0.85%"
"Oct 22, 2019","7,066.08","7,021.94","7,066.08","6,978.89","-","0.80%"
"Oct 21, 2019","7,010.10","7,025.62","7,047.72","6,991.11","-","0.18%"
"Oct 18, 2019","6,997.62","6,958.61","7,011.75","6,950.19","-","0.67%"
"Oct 17, 2019","6,950.79","6,914.73","6,954.27","6,909.18","-","0.49%"
"Oct 16, 2019","6,917.23","6,908.57","6,917.23","6,873.07","-","0.40%"
"Oct 15, 2019","6,889.51","6,860.51","6,889.51","6,827.61","-","0.54%"
"Oct 14, 2019","6,852.42","6,849.95","6,883.15","6,817.18","-","0.68%"
"Oct 11, 2019","6,806.00","6,724.33","6,812.64","6,724.33","-","1.51%"
"Oct 10, 2019","6,704.79","6,698.65","6,734.25","6,698.65","-","-0.16%"
"Oct 09, 2019","6,715.41","6,731.93","6,752.15","6,713.30","-","-0.47%"
"Oct 08, 2019","6,747.04","6,748.24","6,768.35","6,700.50","-","0.66%"
"Oct 07, 2019","6,702.78","6,817.35","6,818.57","6,697.50","-","-1.23%"
"Oct 04, 2019","6,786.32","6,766.01","6,803.82","6,754.58","-","0.80%"
"Oct 03, 2019","6,732.68","6,787.99","6,787.99","6,693.71","-","-0.83%"
"Oct 02, 2019","6,789.27","6,893.99","6,937.94","6,789.27","-","-1.88%"
"Oct 01, 2019","6,919.50","6,968.24","6,978.83","6,919.50","-","-0.85%"
"Sep 30, 2019","6,978.75","7,000.24","7,005.92","6,941.76","-","-0.47%"
"Sep 27, 2019","7,012.01","7,021.38","7,033.84","6,995.58","-","-0.66%"
"Sep 26, 2019","7,058.69","6,971.52","7,061.08","6,959.43","-","1.85%"
"Sep 25, 2019","6,930.71","6,895.60","6,930.71","6,831.40","-","-0.00%"
"Sep 24, 2019","6,930.80","6,998.65","7,006.87","6,915.94","-","-1.52%"
"Sep 23, 2019","7,037.55","7,064.43","7,072.05","7,025.08","-","-0.22%"
"Sep 20, 2019","7,053.06","7,077.09","7,087.64","7,022.04","-","-0.27%"
"Sep 19, 2019","7,072.26","7,120.31","7,130.05","7,070.11","-","-0.88%"
"Sep 18, 2019","7,135.26","7,093.50","7,135.26","7,088.76","-","0.54%"
"Sep 17, 2019","7,096.66","7,063.20","7,100.78","7,039.87","-","0.26%"
"Sep 16, 2019","7,078.19","7,119.39","7,119.56","7,004.75","-","-0.91%"
"Sep 13, 2019","7,143.54","7,196.54","7,197.66","7,127.96","-","0.08%"
"Sep 12, 2019","7,137.75","7,240.31","7,255.27","7,137.75","-","-1.03%"
"Sep 11, 2019","7,212.36","7,140.66","7,212.36","7,103.05","-","0.92%"
"Sep 10, 2019","7,146.92","7,137.27","7,146.92","7,105.92","-","0.23%"
"Sep 09, 2019","7,130.74","7,162.11","7,162.11","7,102.36","-","0.08%"
"Sep 06, 2019","7,125.38","7,151.19","7,158.15","7,105.21","-","0.27%"
"Sep 05, 2019","7,106.09","7,082.00","7,106.09","7,046.21","-","1.07%"
"Sep 04, 2019","7,030.68","7,054.29","7,054.29","6,990.18","-","-0.18%"
"Sep 03, 2019","7,043.22","7,108.20","7,121.72","7,020.25","-","-0.83%"
"Sep 02, 2019","7,102.38","7,179.43","7,181.28","7,099.18","-","-1.09%"
