"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2019","691.12","693.80","695.72","690.72","-","-0.57%"
"Dec 27, 2019","695.05","689.10","699.03","686.34","-","0.48%"
"Dec 26, 2019","691.74","689.31","691.74","686.24","-","0.45%"
"Dec 24, 2019","688.67","693.84","694.61","687.84","-","-0.73%"
"Dec 23, 2019","693.76","695.25","697.00","691.30","-","-0.13%"
"Dec 20, 2019","694.67","693.58","696.22","691.68","-","0.29%"
"Dec 19, 2019","692.65","693.29","697.15","688.91","-","-0.09%"
"Dec 18, 2019","693.29","693.24","696.95","690.13","-","-0.02%"
"Dec 17, 2019","693.40","684.90","693.41","683.81","-","1.79%"
"Dec 16, 2019","681.21","681.50","683.81","680.16","-","-0.16%"
"Dec 13, 2019","682.30","670.94","682.30","670.94","-","1.88%"
"Dec 12, 2019","669.68","658.28","670.33","658.28","-","1.89%"
"Dec 11, 2019","657.25","655.32","659.01","653.50","-","0.30%"
"Dec 10, 2019","655.27","651.92","656.22","649.14","-","0.44%"
"Dec 09, 2019","652.41","650.36","653.74","649.82","-","0.64%"
"Dec 06, 2019","648.27","640.36","649.39","640.36","-","1.25%"
"Dec 05, 2019","640.29","646.01","648.33","638.88","-","-0.34%"
"Dec 04, 2019","642.48","643.97","643.97","638.38","-","-0.69%"
"Dec 03, 2019","646.92","647.86","648.32","641.99","-","-0.51%"
"Dec 02, 2019","650.26","648.78","654.91","648.78","-","0.29%"
"Nov 29, 2019","648.36","660.04","661.39","647.31","-","-1.70%"
"Nov 28, 2019","659.56","661.38","663.51","659.52","-","-0.67%"
"Nov 27, 2019","663.99","662.80","666.38","660.38","-","0.35%"
"Nov 26, 2019","661.69","662.48","669.18","661.68","-","-0.10%"
"Nov 25, 2019","662.33","658.97","666.01","658.97","-","1.01%"
"Nov 22, 2019","655.70","652.79","657.00","652.79","-","0.40%"
"Nov 21, 2019","653.11","662.83","662.83","650.04","-","-1.50%"
"Nov 20, 2019","663.05","671.75","671.75","662.81","-","-1.43%"
"Nov 19, 2019","672.64","674.77","674.77","666.64","-","-0.33%"
"Nov 18, 2019","674.90","675.25","675.93","672.02","-","-0.02%"
"Nov 15, 2019","675.02","666.69","675.71","665.25","-","1.58%"
"Nov 14, 2019","664.53","660.80","664.53","660.33","-","0.57%"
"Nov 13, 2019","660.76","666.06","666.06","659.10","-","-0.82%"
