"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","4,758.13","4,778.54","4,782.10","4,747.26","-","-0.44%"
"Dec 30, 2019","4,779.18","4,856.68","4,857.50","4,735.59","-","-1.57%"
"Dec 27, 2019","4,855.59","4,835.90","4,887.05","4,833.66","-","0.54%"
"Dec 26, 2019","4,829.69","4,809.00","4,837.37","4,803.21","-","0.49%"
"Dec 25, 2019","4,806.12","4,806.12","4,806.12","4,806.12","-","0.00%"
"Dec 24, 2019","4,806.12","4,830.89","4,832.72","4,796.20","-","-0.43%"
"Dec 23, 2019","4,826.94","4,845.19","4,852.85","4,814.55","-","-0.60%"
"Dec 20, 2019","4,855.85","4,877.65","4,886.36","4,842.36","-","0.15%"
"Dec 19, 2019","4,848.63","4,901.85","4,901.85","4,847.82","-","-1.27%"
"Dec 18, 2019","4,911.08","4,823.55","4,911.08","4,822.73","-","1.59%"
"Dec 17, 2019","4,834.45","4,828.60","4,834.45","4,799.89","-","0.47%"
"Dec 16, 2019","4,811.75","4,812.42","4,838.28","4,795.60","-","0.49%"
"Dec 13, 2019","4,788.23","4,714.45","4,807.51","4,711.79","-","2.48%"
"Dec 12, 2019","4,672.21","4,672.21","4,672.21","4,672.21","-","0.53%"
"Dec 11, 2019","4,647.36","4,578.63","4,666.83","4,574.09","-","1.60%"
"Dec 10, 2019","4,574.12","4,507.78","4,574.12","4,501.38","-","1.57%"
"Dec 09, 2019","4,503.53","4,496.72","4,552.16","4,494.90","-","0.39%"
"Dec 06, 2019","4,485.91","4,524.01","4,532.01","4,485.91","-","-0.29%"
"Dec 05, 2019","4,498.75","4,497.53","4,528.90","4,493.16","-","0.50%"
"Dec 04, 2019","4,476.46","4,494.89","4,503.25","4,476.46","-","0.36%"
"Dec 03, 2019","4,460.34","4,477.59","4,488.27","4,455.82","-","-0.78%"
"Dec 02, 2019","4,495.30","4,543.23","4,543.23","4,494.10","-","-1.13%"
"Nov 29, 2019","4,546.75","4,572.05","4,573.18","4,525.19","-","0.04%"
"Nov 28, 2019","4,544.76","4,544.35","4,576.07","4,524.43","-","-0.08%"
"Nov 27, 2019","4,548.45","4,551.36","4,561.48","4,531.45","-","0.27%"
"Nov 26, 2019","4,536.28","4,619.09","4,619.09","4,531.91","-","-2.21%"
"Nov 25, 2019","4,638.62","4,646.64","4,677.89","4,629.51","-","-0.38%"
"Nov 22, 2019","4,656.28","4,636.42","4,663.42","4,630.71","-","0.58%"
"Nov 21, 2019","4,629.35","4,642.11","4,645.10","4,602.81","-","-0.52%"
"Nov 20, 2019","4,653.39","4,644.51","4,673.36","4,621.14","-","-0.10%"
"Nov 19, 2019","4,657.86","4,653.24","4,672.37","4,641.23","-","-0.14%"
"Nov 18, 2019","4,664.42","4,664.42","4,664.42","4,664.42","-","-0.28%"
"Nov 15, 2019","4,677.53","4,660.29","4,685.37","4,659.82","-","1.65%"
"Nov 14, 2019","4,601.80","4,584.48","4,627.33","4,584.48","-","0.34%"
"Nov 13, 2019","4,585.98","4,573.22","4,609.87","4,572.06","-","-1.47%"
"Nov 12, 2019","4,654.22","4,699.68","4,703.23","4,616.94","-","-1.43%"
