"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","6,628.30","6,748.20","6,748.20","6,628.30","325.84M","-1.78%"
"Dec 30, 2019","6,748.20","6,764.70","6,767.70","6,707.40","305.25M","-0.24%"
"Dec 27, 2019","6,764.70","6,736.40","6,765.10","6,736.40","305.03M","0.42%"
"Dec 24, 2019","6,736.40","6,726.90","6,736.80","6,718.00","212.42M","0.14%"
"Dec 23, 2019","6,726.90","6,758.00","6,758.00","6,726.90","374.45M","-0.46%"
"Dec 20, 2019","6,758.00","6,773.50","6,783.40","6,749.20","996.19M","-0.23%"
"Dec 19, 2019","6,773.50","6,792.60","6,813.30","6,760.20","809.59M","-0.28%"
"Dec 18, 2019","6,792.60","6,789.00","6,804.80","6,774.00","651.99M","0.05%"
"Dec 17, 2019","6,789.00","6,790.80","6,812.40","6,780.80","648.11M","-0.03%"
"Dec 16, 2019","6,790.80","6,684.10","6,807.20","6,684.10","673.27M","1.63%"
"Dec 13, 2019","6,682.20","6,651.90","6,695.60","6,651.90","648.26M","0.46%"
"Dec 12, 2019","6,651.90","6,696.10","6,696.30","6,644.30","629.56M","-0.66%"
"Dec 11, 2019","6,696.10","6,650.60","6,696.10","6,650.60","637.33M","0.68%"
"Dec 10, 2019","6,650.60","6,673.90","6,678.20","6,646.30","469.05M","-0.35%"
"Dec 09, 2019","6,673.90","6,651.60","6,683.60","6,651.60","506.33M","0.34%"
"Dec 06, 2019","6,651.60","6,628.10","6,656.20","6,626.10","484.03M","0.35%"
"Dec 05, 2019","6,628.10","6,552.00","6,629.40","6,552.00","572.32M","1.16%"
"Dec 04, 2019","6,552.00","6,658.30","6,658.30","6,536.30","780.26M","-1.60%"
"Dec 03, 2019","6,658.30","6,806.80","6,806.80","6,649.70","723.16M","-2.18%"
"Dec 02, 2019","6,806.80","6,790.40","6,834.10","6,784.60","484.14M","0.24%"
"Nov 29, 2019","6,790.40","6,811.20","6,839.00","6,790.40","532.78M","-0.31%"
"Nov 28, 2019","6,811.20","6,798.10","6,826.40","6,798.10","510.02M","0.19%"
"Nov 27, 2019","6,798.10","6,735.80","6,799.60","6,735.80","614.95M","0.92%"
"Nov 26, 2019","6,735.80","6,680.30","6,745.70","6,680.30","1.09B","0.83%"
"Nov 25, 2019","6,680.30","6,660.70","6,706.80","6,660.70","524.62M","0.32%"
"Nov 22, 2019","6,658.80","6,622.30","6,674.50","6,622.30","525.13M","0.55%"
"Nov 21, 2019","6,622.30","6,671.60","6,671.60","6,586.60","706.59M","-0.74%"
"Nov 20, 2019","6,671.60","6,764.00","6,764.00","6,663.70","662.13M","-1.37%"
"Nov 19, 2019","6,764.00","6,717.90","6,764.00","6,705.00","560.88M","0.69%"
"Nov 18, 2019","6,717.90","6,744.80","6,750.30","6,699.90","430.58M","-0.40%"
"Nov 15, 2019","6,744.80","6,686.10","6,749.20","6,686.10","554.84M","0.88%"
"Nov 14, 2019","6,686.10","6,652.00","6,696.30","6,639.80","670.87M","0.51%"
"Nov 13, 2019","6,652.00","6,707.30","6,719.60","6,652.00","725.90M","-0.82%"
"Nov 12, 2019","6,707.30","6,727.40","6,734.50","6,685.20","634.59M","-0.30%"
"Nov 11, 2019","6,727.40","6,679.10","6,727.40","6,672.90","541.28M","0.72%"
