"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","51,885","51,799","51,957","51,275","6.32K","-0.04%"
"Dec 30, 2019","51,908","51,701","52,009","51,564","10.77K","-1.48%"
"Dec 27, 2019","52,687","52,088","52,268","51,570","12.24K","0.31%"
"Dec 24, 2019","52,523","51,597","51,740","51,403","4.28K","0.03%"
"Dec 23, 2019","52,507","52,100","52,100","51,325","12.93K","-0.68%"
"Dec 20, 2019","52,867","51,766","52,265","51,722","13.74K","1.69%"
"Dec 19, 2019","51,989","52,488","52,540","51,820","25.15K","-0.77%"
"Dec 18, 2019","52,391","51,771","52,528","51,771","30.08K","0.67%"
"Dec 17, 2019","52,044","51,800","52,153","51,619","57.22K","1.10%"
"Dec 13, 2019","51,478","50,739","51,512","49,515","14.38K","1.59%"
"Dec 12, 2019","50,670","50,535","50,600","50,156","3.58K","0.37%"
"Dec 11, 2019","50,481","50,050","50,200","50,000","0.49K","1.22%"
"Dec 10, 2019","49,874","49,600","51,000","49,100","0.09K","-0.22%"
"Dec 09, 2019","49,983","49,800","49,800","49,700","0.04K","-0.09%"
"Dec 06, 2019","50,028","49,954","49,954","49,954","0.00K","0.81%"
"Dec 05, 2019","49,627","48,911","49,089","48,618","14.70K","-0.33%"
"Dec 04, 2019","49,790","49,000","49,000","49,000","0.01K","0.86%"
"Dec 03, 2019","49,366","49,000","49,000","49,000","0.00K","-0.52%"
"Dec 02, 2019","49,624","49,478","49,510","48,613","18.44K","-1.04%"
"Nov 29, 2019","50,143","49,500","49,800","49,500","0.00K","-0.91%"
"Nov 28, 2019","50,601","49,911","50,049","49,656","12.24K","-0.88%"
"Nov 27, 2019","51,050","50,200","50,599","50,009","17.39K","0.23%"
"Nov 26, 2019","50,931","50,760","50,867","50,015","18.51K","-1.17%"
"Nov 25, 2019","51,534","51,136","51,220","51,136","0.02K","0.11%"
"Nov 22, 2019","51,477","51,535","51,535","51,535","0.39K","0.28%"
"Nov 21, 2019","51,331","50,860","51,050","50,300","19.51K","-1.45%"
"Nov 20, 2019","52,087","50,950","51,270","50,763","12.64K","0.04%"
"Nov 19, 2019","52,064","50,561","51,331","50,561","16.24K","1.52%"
"Nov 18, 2019","51,283","50,400","50,794","50,283","12.33K","0.68%"
"Nov 15, 2019","50,936","50,420","50,497","50,022","9.17K","-0.46%"
"Nov 14, 2019","51,172","50,385","50,591","50,200","12.04K","-0.19%"
"Nov 13, 2019","51,268","50,210","50,560","50,000","11.89K","-0.19%"
"Nov 12, 2019","51,365","50,555","50,759","50,328","10.24K","0.30%"
"Nov 11, 2019","51,211","50,500","50,800","50,030","14.52K","-0.71%"
"Nov 08, 2019","51,575","51,375","51,424","50,583","18.34K","-1.56%"
"Nov 07, 2019","52,392","51,687","52,150","51,454","18.27K","-0.49%"
"Nov 06, 2019","52,650","51,370","51,971","51,201","16.72K","0.76%"
"Nov 05, 2019","52,255","51,200","51,527","51,080","14.62K","0.80%"
"Nov 04, 2019","51,840","50,955","51,118","50,720","11.88K","0.53%"
"Nov 01, 2019","51,566","50,777","50,925","50,485","14.86K","0.15%"
"Oct 31, 2019","51,490","50,250","50,940","50,219","22.78K","1.08%"
"Oct 30, 2019","50,942","49,652","50,120","48,864","22.66K","0.62%"
"Oct 29, 2019","50,627","49,978","50,131","49,528","14.81K","-0.40%"
"Oct 28, 2019","50,828","49,499","50,111","49,464","13.10K","1.34%"
"Oct 25, 2019","50,154","49,680","49,767","49,100","10.47K","-0.63%"
"Oct 24, 2019","50,470","49,890","50,217","49,519","15.13K","-0.19%"
"Oct 23, 2019","50,567","49,900","49,924","49,519","13.10K","-0.79%"
"Oct 22, 2019","50,972","50,400","50,440","49,982","11.54K","-0.49%"
"Oct 21, 2019","51,222","49,990","50,525","49,911","12.12K","2.47%"
"Oct 18, 2019","49,986","49,999","50,349","49,900","11.09K","-2.06%"
"Oct 17, 2019","51,039","50,230","50,840","50,105","15.36K","1.37%"
"Oct 16, 2019","50,351","49,899","50,415","49,679","14.55K","-0.88%"
"Oct 15, 2019","50,798","49,750","50,093","49,589","10.27K","0.57%"
"Oct 14, 2019","50,508","50,100","50,100","49,375","12.41K","-0.67%"
"Oct 11, 2019","50,850","49,866","50,190","49,717","13.59K","0.78%"
"Oct 10, 2019","50,456","48,800","49,685","48,800","12.15K","1.48%"
"Oct 09, 2019","49,721","48,845","49,023","48,677","11.62K","-0.25%"
"Oct 08, 2019","49,845","49,315","49,350","48,849","14.06K","-0.42%"
"Oct 07, 2019","50,057","48,780","49,282","48,444","12.08K","1.27%"
"Oct 04, 2019","49,431","48,539","48,660","48,278","13.94K","0.38%"
"Oct 03, 2019","49,246","48,415","48,694","48,077","14.60K","-0.39%"
"Oct 02, 2019","49,438","49,355","49,370","48,456","22.68K","-0.24%"
"Oct 01, 2019","49,555","49,450","49,727","49,222","17.15K","-1.29%"
"Sep 30, 2019","50,205","49,999","49,999","49,156","17.71K","-1.02%"
"Sep 27, 2019","50,721","49,844","50,066","49,567","10.64K","0.07%"
"Sep 26, 2019","50,684","49,535","50,243","49,466","15.34K","0.54%"
"Sep 25, 2019","50,411","49,970","49,970","49,156","18.49K","0.08%"
"Sep 24, 2019","50,372","50,372","50,372","50,372","-","-1.59%"
"Sep 23, 2019","51,186","50,770","51,000","49,866","19.36K","-1.05%"
"Sep 20, 2019","51,731","50,703","51,150","50,660","16.32K","0.19%"
"Sep 19, 2019","51,634","50,758","50,886","50,324","24.78K","-0.18%"
"Sep 18, 2019","51,726","51,400","51,400","51,400","0.55K","-1.15%"
"Sep 17, 2019","52,330","52,136","52,200","51,416","40.09K","-1.56%"
"Sep 16, 2019","53,160","51,580","52,384","51,550","19.64K","0.89%"
"Sep 13, 2019","52,690","51,415","52,050","51,241","6.90K","0.96%"
"Sep 12, 2019","52,191","52,000","52,998","51,325","2.40K","0.68%"
"Sep 11, 2019","51,838","50,340","50,964","50,340","0.08K","1.92%"
"Sep 10, 2019","50,863","49,669","49,823","49,669","0.05K","-0.25%"
"Sep 09, 2019","50,993","49,968","50,120","49,900","0.05K","-0.20%"
"Sep 06, 2019","51,095","49,456","49,895","49,259","14.56K","0.19%"
"Sep 05, 2019","50,997","49,800","49,800","49,800","0.00K","1.64%"
"Sep 04, 2019","50,172","49,605","49,605","49,605","0.01K","0.67%"
"Sep 03, 2019","49,840","48,608","48,700","48,147","11.50K","-0.72%"
"Sep 02, 2019","50,203","49,011","49,094","48,545","12.22K","-0.45%"
"Aug 30, 2019","50,431","49,814","49,814","49,814","0.13K","1.23%"
